         66773765 function calls (66611606 primitive calls) in 565.856 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8  206.357   25.795  207.422   25.928 hough_transform.py:81(hough_circle)
     3200  161.926    0.051  161.926    0.051 {built-in method scipy.ndimage._nd_image.min_or_max_filter1d}
     1600   27.014    0.017  251.773    0.157 peak.py:316(_prominent_peaks)
     1608   24.825    0.015   24.881    0.015 _measurements.py:43(label)
  2447154   23.479    0.000   23.479    0.000 {built-in method astropy.io.fits.hdu.compressed._compression.decompress_rice_1_c}
     1600   14.106    0.009   14.106    0.009 {built-in method scipy.ndimage._nd_image.find_objects}
       23   13.403    0.583   72.281    3.143 _tiled_compression.py:282(decompress_image_data_section)
        8   10.423    1.303  262.255   32.782 hough_transform.py:305(hough_circle_peaks)
     4497    9.554    0.002    9.554    0.002 {method 'copy' of 'numpy.ndarray' objects}
2607/1900    9.286    0.004    0.008    0.000 {built-in method _winapi.WaitForMultipleObjects}
  2447191    7.492    0.000   13.959    0.000 utils.py:105(_iter_array_tiles)
  9788630    6.467    0.000    6.467    0.000 utils.py:121(<genexpr>)
        8    5.661    0.708  542.518   67.815 Calibration.py:429(process_file)
   367225    5.503    0.000    5.503    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  2447154    3.707    0.000    6.708    0.000 _tiled_compression.py:109(_finalize_array)
  2447154    3.279    0.000   32.659    0.000 _codecs.py:263(decode)
  4894336    3.253    0.000    3.253    0.000 {built-in method numpy.frombuffer}
       80    2.388    0.030    2.388    0.030 {built-in method scipy.ndimage._nd_image.correlate1d}
  2447154    2.355    0.000   35.368    0.000 _tiled_compression.py:37(_decompress_tile)
  2447182    2.215    0.000    2.215    0.000 {method 'tobytes' of 'numpy.ndarray' objects}
      896    1.631    0.002    1.645    0.002 {method 'dump' of '_pickle.Pickler' objects}
  2447154    1.423    0.000    1.423    0.000 _tiled_compression.py:270(_get_data_from_heap)
      144    1.411    0.010    1.411    0.010 {built-in method _winapi.WaitForSingleObject}
  2454402    1.096    0.000    1.096    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1600    0.991    0.001    0.991    0.001 draw.py:525(circle_perimeter)
  4894322    0.985    0.000    0.985    0.000 {built-in method math.prod}
  2447161    0.878    0.000    1.375    0.000 _tiled_compression.py:88(_update_tile_settings)
  1672146    0.798    0.000    0.798    0.000 _regionprops.py:421(__setattr__)
   119439    0.793    0.000    1.969    0.000 _regionprops.py:470(coords_scaled)
   119439    0.673    0.000    3.256    0.000 _regionprops.py:309(__init__)
  2453121    0.591    0.000    0.591    0.000 {method 'startswith' of 'str' objects}
        8    0.485    0.061    2.769    0.346 _canny.py:103(canny)
  2577242    0.478    0.000    0.478    0.000 {built-in method numpy.asarray}
   239544    0.471    0.000    0.789    0.000 fromnumeric.py:41(_wrapit)
2526693/2508746    0.442    0.000    0.544    0.000 {built-in method builtins.len}
  2447161    0.433    0.000    0.433    0.000 _codecs.py:46(_as_native_endian_array)
   119453    0.420    0.000    0.958    0.000 _methods.py:118(_mean)
  2447161    0.354    0.000    0.354    0.000 _codecs.py:258(__init__)
     11/4    0.318    0.029  565.570  141.392 text.py:73(_get_text_metrics_with_cache_impl)
   365812    0.315    0.000    0.315    0.000 {built-in method numpy.array}
   241312    0.308    0.000    3.659    0.000 fromnumeric.py:69(_wrapreduction)
   119439    0.290    0.000    0.564    0.000 _regionprops.py:546(image_intensity)
   119439    0.269    0.000    1.493    0.000 _regionprops.py:573(intensity_max)
   119439    0.266    0.000    0.897    0.000 _regionprops_utils.py:590(_normalize_spacing)
   359203    0.265    0.000    1.298    0.000 fromnumeric.py:51(_wrapfunc)
   119439    0.242    0.000    3.229    0.000 _regionprops.py:454(centroid)
       16    0.231    0.014    0.232    0.014 base.py:186(data)
   119439    0.223    0.000    0.223    0.000 _regionprops.py:530(image)
   119439    0.220    0.000    1.037    0.000 numeric.py:591(argwhere)
   358317    0.188    0.000    0.395    0.000 _regionprops_utils.py:622(<genexpr>)
   119525    0.183    0.000    0.183    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
   119467    0.180    0.000    0.230    0.000 _methods.py:76(_count_reduce_items)
   238883    0.177    0.000    0.572    0.000 {built-in method builtins.all}
     1600    0.165    0.000   19.543    0.012 _regionprops.py:1109(regionprops)
   119439    0.165    0.000    0.307    0.000 numeric.py:290(full)
       32    0.164    0.005    0.168    0.005 {built-in method _winapi.CreateProcess}
477756/358317    0.164    0.000    0.678    0.000 _regionprops.py:234(wrapper)
   588904    0.147    0.000    0.275    0.000 {built-in method builtins.isinstance}
        8    0.141    0.018    3.549    0.444 Calibration.py:142(preprocess)
        8    0.136    0.017    1.314    0.164 _canny.py:17(_preprocess)
        8    0.136    0.017    0.143    0.018 exposure.py:60(_bincount_histogram)
        7    0.124    0.018    0.127    0.018 image.py:255(data)
   119486    0.123    0.000    0.123    0.000 {method 'round' of 'numpy.ndarray' objects}
   119460    0.112    0.000    0.112    0.000 {method 'astype' of 'numpy.generic' objects}
635513/634253    0.111    0.000    0.113    0.000 {built-in method builtins.getattr}
        7    0.108    0.015    0.108    0.015 {method 'close' of 'mmap.mmap' objects}
     4890    0.105    0.000    0.105    0.000 {built-in method numpy.zeros}
   124308    0.104    0.000    0.104    0.000 {built-in method numpy.empty}
   509247    0.094    0.000    0.094    0.000 {method 'append' of 'list' objects}
   121443    0.088    0.000    3.331    0.000 fromnumeric.py:3052(max)
        2    0.085    0.042    0.085    0.042 {built-in method _tkinter.create}
   119467    0.084    0.000    0.498    0.000 fromnumeric.py:3328(prod)
      105    0.072    0.001    0.072    0.001 {built-in method _io.open}
   244357    0.065    0.000    0.127    0.000 <frozen abc>:117(__instancecheck__)
   239560    0.064    0.000    0.064    0.000 {method 'wrap' of 'numpy._core._multiarray_umath._array_converter' objects}
   119486    0.063    0.000    0.611    0.000 fromnumeric.py:3618(round)
   244357    0.061    0.000    0.062    0.000 {built-in method _abc._abc_instancecheck}
   119439    0.061    0.000    1.018    0.000 {method 'mean' of 'numpy.ndarray' objects}
   239560    0.060    0.000    0.060    0.000 {method 'as_arrays' of 'numpy._core._multiarray_umath._array_converter' objects}
   266813    0.058    0.000    0.058    0.000 {built-in method builtins.issubclass}
      212    0.055    0.000    0.055    0.000 {method 'astype' of 'numpy.ndarray' objects}
   119439    0.052    0.000    1.544    0.000 peak.py:368(<lambda>)
       24    0.051    0.002    0.052    0.002 numeric.py:137(ones)
   251651    0.050    0.000    0.050    0.000 {method 'items' of 'dict' objects}
     2821    0.045    0.000    1.590    0.001 {built-in method builtins.sorted}
     1600    0.044    0.000    0.103    0.000 _morphology.py:124(generate_binary_structure)
     2440    0.044    0.000    0.094    0.000 connection.py:1014(wait)
   119525    0.044    0.000    0.306    0.000 fromnumeric.py:2018(nonzero)
   119439    0.043    0.000    0.522    0.000 fromnumeric.py:630(transpose)
     3200    0.042    0.000  162.195    0.051 _filters.py:1246(maximum_filter1d)
       45    0.042    0.001    0.042    0.001 {method 'flatten' of 'numpy.ndarray' objects}
     3335    0.038    0.000    0.207    0.000 _ni_support.py:78(_get_output)
     3200    0.038    0.000    0.069    0.000 numeric.py:1745(indices)
      370    0.037    0.000    0.038    0.000 {method 'call' of '_tkinter.tkapp' objects}
     1600    0.035    0.000    0.060    0.000 _index_tricks_impl.py:149(__getitem__)
       18    0.034    0.002    0.034    0.002 {method 'encode' of 'ImagingEncoder' objects}
     24/4    0.032    0.001    0.045    0.011 backend_agg.py:206(get_text_width_height_descent)
   119444    0.030    0.000    0.030    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      808    0.028    0.000   19.957    0.025 _base.py:199(as_completed)
       21    0.028    0.001    0.028    0.001 {method 'tofile' of 'numpy.ndarray' objects}
   119481    0.027    0.000    0.027    0.000 {built-in method numpy.lib.array_utils.normalize_axis_index}
     3252    0.024    0.000    0.072    0.000 _dtype.py:350(_name_get)
     8738    0.021    0.000    0.089    0.000 configuration.py:442(__call__)
     6525    0.021    0.000    0.021    0.000 {method 'extend' of 'list' objects}
    26936    0.021    0.000    0.021    0.000 {method 'match' of 're.Pattern' objects}
     1459    0.020    0.000    0.021    0.000 header.py:1810(_updateindices)
     1807    0.020    0.000    0.022    0.000 {method 'cancel' of '_winapi.Overlapped' objects}
   120167    0.020    0.000    0.020    0.000 {built-in method numpy.asanyarray}
     3200    0.020    0.000    0.068    0.000 __init__.py:77(__getattr__)
     4872    0.019    0.000    0.019    0.000 {built-in method _winapi.ReadFile}
     4949    0.019    0.000    0.047    0.000 numerictypes.py:471(issubdtype)
   119455    0.019    0.000    0.019    0.000 fromnumeric.py:3523(ndim)
     1600    0.019    0.000   24.897    0.016 _label.py:5(_label_bool)
  824/772    0.018    0.000    0.036    0.000 threading.py:302(wait)
      800    0.018    0.000    0.018    0.000 {built-in method _pickle.loads}
   119479    0.017    0.000    0.017    0.000 multiarray.py:1098(copyto)
   121443    0.017    0.000    0.017    0.000 fromnumeric.py:3047(_max_dispatcher)
   119467    0.017    0.000    0.017    0.000 fromnumeric.py:3323(_prod_dispatcher)
   119486    0.016    0.000    0.016    0.000 fromnumeric.py:3614(_round_dispatcher)
     9898    0.016    0.000    0.027    0.000 numerictypes.py:289(issubclass_)
     6572    0.016    0.000    0.016    0.000 {built-in method numpy.arange}
   166/20    0.016    0.000    0.009    0.000 backend_agg.py:248(_prepare_font)
   119439    0.016    0.000    0.016    0.000 numeric.py:587(_argwhere_dispatcher)
    10691    0.016    0.000    0.031    0.000 configuration.py:547(get_config)
    48528    0.016    0.000    0.016    0.000 {method 'get' of 'dict' objects}
     6423    0.016    0.000    0.019    0.000 _type_check_impl.py:270(iscomplexobj)
   119455    0.016    0.000    0.016    0.000 fromnumeric.py:3519(_ndim_dispatcher)
   119439    0.015    0.000    0.015    0.000 fromnumeric.py:626(_transpose_dispatcher)
     2408    0.015    0.000    0.017    0.000 {built-in method _winapi.PeekNamedPipe}
   119525    0.014    0.000    0.014    0.000 fromnumeric.py:2014(_nonzero_dispatcher)
     3205    0.013    0.000    0.074    0.000 __init__.py:73(import_module)
        7    0.013    0.002    0.013    0.002 {built-in method _imp.create_dynamic}
     2440    0.013    0.000    0.020    0.000 connection.py:992(_exhaustive_wait)
     1600    0.013    0.000   16.071    0.010 _measurements.py:238(find_objects)
      800    0.011    0.000    0.025    0.000 connection.py:331(_get_more_data)
      832    0.011    0.000   10.130    0.012 process.py:403(wait_result_broken_or_wakeup)
     6592    0.011    0.000    0.023    0.000 header.py:1678(_cardindex)
       38    0.010    0.000    0.010    0.000 {method 'write' of '_io.BufferedRandom' objects}
        8    0.010    0.001    0.169    0.021 thresholding.py:336(threshold_otsu)
       66    0.010    0.000    0.015    0.000 backend_agg.py:93(draw_path)
     3537    0.009    0.000    0.093    0.000 header.py:151(__getitem__)
     1640    0.009    0.000    0.010    0.000 {built-in method _winapi.WriteFile}
        7    0.009    0.001    0.009    0.001 {built-in method nt.remove}
     9773    0.009    0.000    0.015    0.000 threading.py:278(__enter__)
    19429    0.008    0.000    0.012    0.000 configobj.py:550(__getitem__)
       27    0.008    0.000    0.008    0.000 {built-in method builtins.print}
7400/3902    0.008    0.000   12.840    0.003 {method 'acquire' of '_thread.lock' objects}
6536/6474    0.008    0.000    0.008    0.000 {method 'GetOverlappedResult' of '_winapi.Overlapped' objects}
     3946    0.008    0.000    0.008    0.000 {method 'format' of 'str' objects}
     3252    0.008    0.000    0.038    0.000 _dtype.py:334(_name_includes_bit_suffix)
        7    0.008    0.001    0.008    0.001 {method 'close' of '_io.BufferedWriter' objects}
3253/3213    0.008    0.000    0.062    0.000 <frozen importlib._bootstrap>:1343(_find_and_load)
     1651    0.007    0.000    0.017    0.000 fromnumeric.py:89(_wrapreduction_any_all)
 1640/856    0.007    0.000    9.297    0.011 connection.py:278(_send_bytes)
      832    0.007    0.000    1.643    0.002 reduction.py:48(dumps)
     1600    0.007    0.000   24.904    0.016 _label.py:33(label)
    40647    0.007    0.000    0.013    0.000 card.py:221(keyword)
    11575    0.007    0.000    0.014    0.000 card.py:575(normalize_keyword)
     5491    0.007    0.000    0.103    0.000 card.py:284(value)
     2042    0.006    0.000    0.028    0.000 header.py:1106(append)
     3209    0.006    0.000    0.017    0.000 copy.py:61(copy)
      800    0.006    0.000    0.305    0.000 connection.py:245(recv)
     8738    0.006    0.000    0.021    0.000 validate.py:593(check)
       38    0.006    0.000    0.006    0.000 {built-in method _io.open_code}
  816/808    0.006    0.000    1.165    0.001 threading.py:616(wait)
     8738    0.006    0.000    0.006    0.000 validate.py:637(_parse_with_caching)
     2068    0.006    0.000    1.952    0.001 {method 'max' of 'numpy.ndarray' objects}
  5112/88    0.006    0.000    0.013    0.000 copy.py:118(deepcopy)
    27546    0.006    0.000    0.006    0.000 {function Section.__getitem__ at 0x00000179BE82D9E0}
     8738    0.006    0.000    0.095    0.000 configuration.py:333(__get__)
     3205    0.005    0.000    0.056    0.000 <frozen importlib._bootstrap>:1369(_gcd_import)
    16756    0.005    0.000    0.009    0.000 card.py:483(field_specifier)
     3205    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap>:1279(_sanity_check)
      896    0.005    0.000    0.007    0.000 reduction.py:38(__init__)
      958    0.005    0.000    0.039    0.000 card.py:751(_parse_value)
    15165    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
     8738    0.005    0.000    0.009    0.000 validate.py:651(_check_value)
 1640/856    0.005    0.000    9.302    0.011 connection.py:181(send_bytes)
      453    0.005    0.000    0.005    0.000 {method 'read' of '_io.BufferedReader' objects}
     1640    0.004    0.000    0.059    0.000 connection.py:325(_poll)
       21    0.004    0.000    0.004    0.000 {method 'argsort' of 'numpy.ndarray' objects}
      272    0.004    0.000    0.004    0.000 {built-in method _winapi.CloseHandle}
     8738    0.004    0.000    0.026    0.000 configuration.py:513(_validate_val)
     1233    0.004    0.000    0.031    0.000 card.py:305(value)
     1616    0.004    0.000    0.021    0.000 fromnumeric.py:2589(all)
     9773    0.004    0.000    0.006    0.000 threading.py:281(__exit__)
       38    0.004    0.000    0.004    0.000 {built-in method marshal.loads}
       92    0.004    0.000    0.015    0.000 lines.py:744(draw)
    150/2    0.004    0.000    0.029    0.015 text.py:358(_get_layout)
1857/1801    0.004    0.000    0.009    0.000 card.py:829(_split)
     8110    0.004    0.000    0.008    0.000 __init__.py:778(__getitem__)
     4856    0.004    0.000    0.009    0.000 threading.py:373(notify)
      840    0.003    0.000    0.040    0.000 process.py:380(add_call_item_to_queue)
     3290    0.003    0.000    0.003    0.000 _ni_support.py:37(_extend_mode_to_code)
     1536    0.003    0.000    0.005    0.000 font_manager.py:700(__hash__)
     2551    0.003    0.000    0.012    0.000 copy.py:247(_reconstruct)
     1953    0.003    0.000    0.037    0.000 card.py:608(_check_if_rvkc)
     2068    0.003    0.000    1.946    0.001 _methods.py:42(_amax)
    13177    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
      800    0.003    0.000    0.017    0.000 _base.py:537(set_result)
        8    0.003    0.000    0.157    0.020 exposure.py:190(histogram)
     8738    0.003    0.000    0.005    0.000 validate.py:897(is_boolean)
     5197    0.003    0.000    0.005    0.000 header.py:1841(_haswildcard)
 1060/701    0.003    0.000    0.020    0.000 header.py:224(__delitem__)
     2006    0.003    0.000    0.007    0.000 card.py:706(_parse_keyword)
      660    0.003    0.000    0.014    0.000 artist.py:1188(_update_props)
       21    0.003    0.000    0.062    0.003 file.py:432(writearray)
     3252    0.003    0.000    0.003    0.000 _dtype.py:24(_kind_name)
     16/8    0.003    0.000   12.830    1.604 threading.py:995(_bootstrap)
     1608    0.003    0.000    0.032    0.000 connection.py:293(_recv_bytes)
     9837    0.003    0.000    0.003    0.000 {method '__exit__' of '_thread.lock' objects}
      800    0.003    0.000    0.180    0.000 process.py:773(submit)
        2    0.003    0.001    0.012    0.006 font_manager.py:1453(_findfont_cached)
     3301    0.003    0.000    0.003    0.000 _util.py:1047(normalize_axis_index)
     2823    0.003    0.000    0.004    0.000 card.py:658(_check_if_rvkc_image)
     3029    0.003    0.000    0.051    0.000 card.py:161(__init__)
6675/5635    0.003    0.000    0.004    0.000 fitsrec.py:486(__getattribute__)
    12114    0.003    0.000    0.003    0.000 {method 'upper' of 'str' objects}
     1600    0.003    0.000    0.105    0.000 _util.py:209(_resolve_neighborhood)
       46    0.003    0.000    0.019    0.000 header.py:351(fromstring)
     8117    0.003    0.000    0.004    0.000 __init__.py:698(_get)
    10518    0.003    0.000    0.003    0.000 {method 'strip' of 'str' objects}
      387    0.003    0.000    0.036    0.000 header.py:1360(insert)
    10494    0.003    0.000    0.004    0.000 {built-in method builtins.hasattr}
      191    0.002    0.000    0.003    0.000 {built-in method nt.stat}
     1995    0.002    0.000    0.002    0.000 {built-in method builtins.locals}
